"","year","all_tenant_sales","flat_tenant_sales","house_tenant_sales","area","house_price_lower_quartile","house_price_mean","house_price_median","house_price_upper_quartile","number_of_house_sales","jsa_claimants_16_to_24","jsa_claimants_25_to_49","jsa_claimants_50_plus","jsa_claimants_female","jsa_claimants_male","jsa_claimants_total"
"1",1980,4774,595,4179,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1981,8740,1015,7725,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1982,12219,1641,10578,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1983,14986,2068,12918,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1984,13761,1815,11946,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1985,12520,1960,10560,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1986,11858,1968,9890,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1987,15896,4069,11827,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1988,24922,7706,17216,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1989,32679,11301,21378,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1990,29040,12184,16856,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1991,20167,8433,11734,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1992,20896,8242,12654,"scotland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1993,17556,6578,10978,"scotland",36000,46044,42750,NA,79300,NA,NA,NA,NA,NA,NA
"15",1994,18907,6860,12047,"scotland",37000,48000,44625,NA,79661,NA,NA,NA,NA,NA,NA
"16",1995,14747,5452,9295,"scotland",37250,48500,44825,55750,77489,NA,NA,NA,NA,NA,NA
"17",1996,11271,3987,7284,"scotland",38000,49025,45500,NA,75361,NA,NA,NA,NA,NA,NA
"18",1997,15514,5604,9910,"scotland",38400,50500,46500,58500,78289,NA,NA,NA,NA,NA,NA
"19",1998,13559,5297,8262,"scotland",39000,51953,48000,60000,82959,NA,NA,NA,NA,NA,NA
"20",1999,12870,4680,8190,"scotland",40000,54000,50000,62500,87363,65638,74880,47865,60004,89317,126554
"21",2000,13613,4890,8723,"scotland",41500,56448,52000,65995,91517,127983,147713,96286,109151,157872,215064
"22",2001,12946,4780,8166,"scotland",43000,59460,54650,69950,97656,130076,146807,94328,117434,162329,192501
"23",2002,15762,5621,10141,"scotland",46500,65927,59500,77500,108817,118627,147641,80149,106225,160138,182068
"24",2003,17455,6242,11213,"scotland",55000,77511,70000,91500,107725,126908,150329,88440,109366,153420,162706
"25",2004,12682,4896,7786,"scotland",67000,94292,86000,113000,99009,121578,149027,85029,95868,149932,153173
"26",2005,10784,4419,6365,"scotland",77250,107910,97000,128000,114125,118296,146987,71819,101042,149788,154897
"27",1980,0,0,0,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1981,0,0,0,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1982,1,0,1,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1983,6,4,2,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1984,1,0,1,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1985,4,2,2,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1986,4,3,1,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1987,3,2,1,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1988,11,11,0,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1989,27,23,4,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1990,50,43,7,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1991,22,20,2,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1992,35,33,2,"east_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1993,27,26,1,"east_end",26875,30000,30000,30000,218,NA,NA,NA,NA,NA,NA
"41",1994,23,21,2,"east_end",26500,30500,30000,30500,208,NA,NA,NA,NA,NA,NA
"42",1995,17,17,0,"east_end",28000,35454,32998,37950,215,NA,NA,NA,NA,NA,NA
"43",1996,12,11,1,"east_end",27500,32250,30000,35000,246,NA,NA,NA,NA,NA,NA
"44",1997,20,19,1,"east_end",27000,33299,32750,35925,206,NA,NA,NA,NA,NA,NA
"45",1998,11,10,1,"east_end",27750,30377,29500,34000,189,NA,NA,NA,NA,NA,NA
"46",1999,15,14,1,"east_end",28998,32382,31000,35000,305,233,343,211,234,533,813
"47",2000,22,17,5,"east_end",27500,33650,30500,37975,340,487,607,455,447,888,1369
"48",2001,15,14,1,"east_end",28500,34263,33950,39500,284,515,520,513,561,817,1122
"49",2002,26,24,2,"east_end",29950,36700,35250,44875,394,486,496,413,502,729,998
"50",2003,15,14,1,"east_end",32000,43837,43000,52000,504,535,467,401,496,676,871
"51",2004,13,11,2,"east_end",41950,56620,50402,64100,489,560,461,377,508,560,709
"52",2005,17,14,3,"east_end",54200,63000,63000,68500,517,566,470,308,527,531,658
"53",1980,0,0,0,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1981,0,0,0,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1982,0,0,0,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1983,2,1,1,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1984,1,1,0,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1985,2,2,0,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1986,2,2,0,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1987,0,0,0,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1988,5,4,1,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1989,7,3,4,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1990,17,14,3,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1991,7,6,1,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1992,11,11,0,"west_end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1993,13,12,1,"west_end",42000,50261,50500,57200,681,NA,NA,NA,NA,NA,NA
"67",1994,5,5,0,"west_end",44700,55357,53000,60000,694,NA,NA,NA,NA,NA,NA
"68",1995,6,6,0,"west_end",46000,56341,56900,65000,578,NA,NA,NA,NA,NA,NA
"69",1996,2,2,0,"west_end",46600,58794,58000,65250,674,NA,NA,NA,NA,NA,NA
"70",1997,17,16,1,"west_end",52000,64726,62500,77000,634,NA,NA,NA,NA,NA,NA
"71",1998,14,14,0,"west_end",60000,75691,73500,88000,685,NA,NA,NA,NA,NA,NA
"72",1999,5,5,0,"west_end",61516,82119,80000,98250,647,256,281,207,235,377,669
"73",2000,15,12,3,"west_end",74950,94798,87000,112875,656,526,475,420,464,597,1054
"74",2001,18,18,0,"west_end",77950,106169,95054,130000,715,619,410,397,587,559,835
"75",2002,20,19,1,"west_end",93500,124395,126000,143400,707,480,482,351,506,552,775
"76",2003,9,9,0,"west_end",118500,151360,147000,170000,854,596,473,387,541,456,612
"77",2004,11,11,0,"west_end",139500,181978,176500,206000,677,629,481,379,527,447,517
"78",2005,5,5,0,"west_end",145000,185620,175000,213250,722,580,530,364,580,416,475
